Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
aero-runner-pro,Aero Runner Pro Ultra-Lightweight Running Shoes,<p>Engineered with carbon fiber propulsion plates and adaptive foam cushioning for marathon-grade endurance.</p>,AeroTech Lab,Apparel & Accessories > Shoes > Athletic Shoes,Footwear & Shoes,"running, sneakers, carbon-plate, athletic, bestseller",TRUE,Size,US 10,Color,Obsidian Black,AERO-RUN-01-BLK,450,120,149.99,189.99,TRUE,TRUE,8901234567890,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=1000&q=80,1,Aero Runner Pro Black Lateral Angle,Aero Runner Pro Ultra-Lightweight Carbon Running Shoes,Shop the Aero Runner Pro with carbon propulsion plate and breathable upper mesh.,active
chronos-elite-titanium-smartwatch,Chronos Elite Titanium Smartwatch V2,"<p>Precision aerospace titanium casing with scratchproof sapphire crystal, ECG health monitoring, and 14-day battery life.</p>",Chronos Wearables,Electronics > Wearable Technology > Smartwatches,Tech & Electronics,"smartwatch, titanium, wearables, health, waterproof",TRUE,Case Size,46mm,Strap,Milanese Loop,CHRONOS-SMW-46-TITAN,180,75,329,399,TRUE,TRUE,8901234567891,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=1000&q=80,1,Chronos Elite Titanium Watch,Chronos Elite Titanium Smartwatch | 14-Day Battery,Explore the Chronos Elite titanium smartwatch with health sensors and AMOLED display.,active
luxe-cashmere-merino-sweater,Luxe Cashmere & Merino Ribbed Crewneck Sweater,<p>Spun from 100% sustainably sourced Mongolian cashmere and extra-fine Merino wool for unmatched warmth.</p>,Velvet Haute Couture,Apparel & Accessories > Clothing > Sweaters,Fashion & Apparel,"cashmere, merino-wool, knitwear, luxury, autumn-winter",TRUE,Size,Large,Color,Heather Camel,VEL-CSH-CREW-CAM-L,380,45,195,240,TRUE,TRUE,8901234567892,https://images.unsplash.com/photo-1434389677669-e08b4cac3105?w=1000&q=80,1,Cashmere Merino Wool Sweater Camel,Luxe Cashmere & Merino Ribbed Knit Sweater,Ethically sourced Mongolian cashmere and merino wool ribbed crewneck.,active
aurora-noise-cancelling-headphones,Aurora Studio Pro Active Noise-Cancelling Headphones,"<p>Equipped with 40mm graphene drivers, hybrid ANC with transparency mode, and 50 hours playtime.</p>",SonicLab Audio,Electronics > Audio > Headphones & Headsets,Tech & Electronics,"headphones, anc, audio, bluetooth, spatial-audio",TRUE,Color,Midnight Slate,Edition,Studio Pro,SONIC-AUR-ANC-PRO,285,90,279.5,349,TRUE,TRUE,8901234567893,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=1000&q=80,1,Aurora ANC Wireless Headphones,Aurora Studio Pro Hybrid ANC Headphones,Experience 50-hour battery life and spatial audio with Aurora Studio Pro.,active
artisan-ceramic-pour-over-set,Artisan Matte Ceramic Pour-Over Dripper & Carafe Set,<p>Handcrafted double-fired ceramic dripper paired with heat-resistant borosilicate glass carafe.</p>,Kanso Living Studio,Home & Garden > Kitchen & Dining > Coffee Makers,Home & Living,"coffee, pour-over, ceramic, barista, handcrafted",TRUE,Finish,Matte Sandstone,Capacity,600ml (2-4 Cups),KAN-CER-POUR-600,720,60,68,85,TRUE,TRUE,8901234567894,https://images.unsplash.com/photo-1514432324607-a09d9b4aefdd?w=1000&q=80,1,Ceramic Coffee Pour Over Dripper Set,Handcrafted Ceramic Coffee Pour Over Dripper & Carafe,Brew specialty coffee at home with this Japanese-inspired ceramic dripper.,active
botanica-botanical-youth-elixir-serum,Botanica 2.5% Bakuchiol & Peptide Youth Elixir Serum,"<p>Gentle plant-based retinol alternative infused with botanical peptides, hyaluronic acid, and squalane.</p>",Botanica Skincare Lab,Health & Beauty > Personal Care > Cosmetics > Skin Care,Beauty & Skincare,"skincare, serum, bakuchiol, anti-aging, vegan, organic",TRUE,Size,50ml / 1.7 fl oz,Formula,Hydra-Firm,BOT-SRM-BAK-50,140,200,54,68,TRUE,TRUE,8901234567895,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=1000&q=80,1,Botanica Youth Elixir Glass Dropper Bottle,Botanica Bakuchiol & Peptide Anti-Aging Serum,"Natural retinol alternative serum for firmer, radiant skin without irritation.",active
aerostep-minimalist-leather-backpack,AeroStep Full-Grain Waterproof Leather Commuter Backpack,<p>Constructed with weatherproof vegetable-tanned full-grain leather and padded 16-inch MacBook compartment.</p>,AeroStep Gear,"Apparel & Accessories > Handbags, Wallets & Cases > Backpacks",Fashion & Accessories,"backpack, leather, travel, commuter, waterproof, laptop-bag",TRUE,Color,Espresso Cognac,Capacity,22 Liters,AERO-BP-LTR-COG-22,1150,35,225,280,TRUE,TRUE,8901234567896,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=1000&q=80,1,Full-Grain Leather Commuter Backpack,AeroStep Full-Grain Leather Commuter Backpack 22L,Weatherproof handcrafted leather backpack designed for daily tech commuters.,active
nordic-solid-oak-minimalist-desk-lamp,Nordic Solid Oak Minimalist Dimmable LED Desk Lamp,<p>Sustainably harvested Scandinavian white oak lamp with touch-sensitive dimming and integrated 15W MagSafe charger.</p>,Kanso Living Studio,Home & Garden > Lighting > Lamps,Home & Living,"lamp, lighting, oak, minimalist, wireless-charger, nordic",TRUE,Wood Finish,Natural White Oak,Power,USB-C + MagSafe,KAN-LMP-OAK-LED,850,50,115,145,TRUE,TRUE,8901234567897,https://images.unsplash.com/photo-1507473885765-e6ed057f782c?w=1000&q=80,1,Nordic Oak Minimalist Table Lamp,Nordic Solid Oak Minimalist Desk Lamp with Wireless Charger,Warm dimmable LED table lamp featuring integrated 15W wireless charging pad.,active
zenith-mechanical-gaming-keyboard,Zenith Pro 75% Custom Gasket-Mount Mechanical Keyboard,"<p>CNC anodized aluminum body, hot-swappable tactile linear switches, south-facing RGB, and poron foam damping.</p>",AeroTech Lab,Electronics > Computers > Computer Accessories > Keyboards,Tech & Electronics,"keyboard, mechanical-keyboard, gaming, rgb, wireless, hot-swap",TRUE,Switch Type,Gateron Oil King Linear,Colorway,Cyberpunk Violet,ZEN-KB-75-LIN-VIO,1450,85,189,229,TRUE,TRUE,8901234567898,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=1000&q=80,1,Zenith 75% Custom Mechanical Keyboard,Zenith Pro 75% Gasket Mechanical Keyboard,CNC aluminum hot-swappable custom keyboard with Bluetooth 5.2 and 2.4GHz wireless.,active
single-origin-ethiopian-yirgacheffe-coffee,Artisanal Single-Origin Ethiopian Yirgacheffe Whole Bean Coffee,"<p>Direct-trade Grade 1 specialty Arabica beans featuring vibrant floral notes of jasmine, bergamot, and sweet peach nectar.</p>",Solstice Roasters,"Food, Beverages & Tobacco > Beverages > Coffee > Coffee Beans",Food & Gourmet,"coffee, specialty-coffee, whole-bean, organic, ethiopian",TRUE,Roast Level,Light-Medium Filter Roast,Bag Size,340g / 12 oz,SOL-COF-ETH-340,350,150,22.5,26,TRUE,FALSE,8901234567899,https://images.unsplash.com/photo-1559056199-641a0ac8b55e?w=1000&q=80,1,Ethiopian Specialty Whole Bean Coffee Bag,Single-Origin Ethiopian Yirgacheffe Specialty Coffee,Freshly roasted Grade 1 Arabica whole beans with jasmine floral tasting notes.,active
